"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000012072",63.6717836701175,-1.29262577538555,1.21611633257423,-1.06291293091128,0.28782143837071,0.776040342094293
"ENSDARG00000012073",742.079152148411,-1.03821103223462,1.11250761340059,-0.933217013285088,0.350707932213854,0.819678452580728
"ENSDARG00000012076",11.998419269689,4.3258849657464,3.28537332527926,1.31671032100399,0.187935742714354,NA
"ENSDARG00000012078",2780.99919141383,-1.68556493167205,1.06226690827118,-1.58676215793568,0.112566522490239,0.575644036535105
"ENSDARG00000012081",333.627842593139,2.00126331944024,1.03161426653106,1.93993373721919,0.0523877433366666,0.429898758310435
"ENSDARG00000012094",262.762661740969,2.55750109001979,0.953592323282431,2.6819648476368,0.00731911501626542,0.172327223968481
"ENSDARG00000012113",82.9404944875254,-3.73247874958969,1.64791663849431,-2.26496818006524,0.0235146322393782,0.301697477103281
"ENSDARG00000012125",320.354611017733,-9.03867935610042,2.30346413085974,-3.92395055560376,8.71086210332452e-05,0.0151511476036787
"ENSDARG00000012126",5212.34330783187,-3.65685714910341,1.8869883182205,-1.93793311479106,0.0526313832371472,0.43059845244059
"ENSDARG00000012130",402.792691725105,-1.30406150668951,0.999849436408633,-1.30425788044006,0.192145671053609,0.69156170366628
"ENSDARG00000012135",204.132557907321,1.10842498554409,1.03835895000783,1.06747766322593,0.285756194890615,0.775565036435063
"ENSDARG00000012137",4.70904279222959,-4.75773272461062,3.62414452095559,-1.31278780332859,0.189254461011624,NA
"ENSDARG00000012138",1248.50681923522,-2.22574111824539,1.31016131982463,-1.69882981932584,0.0893512533695913,0.530957703052672
"ENSDARG00000012140",973.549837795407,-0.321997989248914,0.990682842723193,-0.325026310502971,0.745161158946346,0.959598093231142
"ENSDARG00000012141",2990.4205171242,-0.682149295932011,0.848839477821514,-0.803625789981751,0.421613124066255,0.860954904768148
"ENSDARG00000012144",251.440019759541,0.224565098543856,1.17896593903963,0.190476324300585,0.848935894023655,0.978749873620149
"ENSDARG00000012177",143.109146353293,1.86537270653813,1.26086696305849,1.47943657910847,0.139023669841973,0.616741915514065
"ENSDARG00000012184",163.952621787071,0.870029547150511,1.05416508791958,0.825325707634214,0.409186700532532,0.856029059990327
"ENSDARG00000012192",196.396406247076,-0.722858084814151,1.53918314561799,-0.469637474183698,0.638614046431667,0.933772839499417
"ENSDARG00000012194",481.067731109941,-0.98712716244276,0.948579875935833,-1.04063683774537,0.298044127638158,0.783885817584126
"ENSDARG00000012196",474.36430917482,-0.602990515054866,1.46108528970045,-0.412700421601322,0.679826115913296,0.943472645274972
"ENSDARG00000012199",699.329374704509,1.50946226338947,0.913282618753092,1.65278768301793,0.0983740816939689,0.547292261169405
"ENSDARG00000012203",34.432981274391,0.632557606375003,1.51187330412306,0.418393263939472,0.675659610739855,0.942936749533647
"ENSDARG00000012204",65.2719872276672,2.70487009576854,1.3095073932998,2.06556305799282,0.0388697556393616,0.383026020696371
"ENSDARG00000012215",352.91960347616,-0.952146165218308,0.997929635296332,-0.954121544787646,0.340022121570858,0.811729620018374
"ENSDARG00000012219",60.7322235598578,0.608728522539795,1.16537124847052,0.522347297772032,0.601428543257013,0.924543336878648
"ENSDARG00000012222",148.262656386365,0.0082962586672512,1.45399016668298,0.0057058561036748,0.995447410211683,0.999788956657215
"ENSDARG00000012234",318.551749855058,0.336158984735377,1.13376060225218,0.296499088138721,0.766848963238376,0.963025620121321
"ENSDARG00000012244",2828.94350743095,-0.240971735189579,0.995136076570692,-0.242149531971531,0.808664299034117,0.973131236948763
"ENSDARG00000012247",11.5389415050208,-4.76517892839285,2.52758537224299,-1.88526922996243,0.0593934982081055,NA
"ENSDARG00000012248",2333.60465061948,-1.45550248539029,1.06972611468828,-1.36063097404557,0.173630338082243,0.666173542225841
"ENSDARG00000012249",196.613757074756,-1.50781464734177,1.1075463688651,-1.36140092164883,0.173387025021963,0.665709408648466
"ENSDARG00000012256",6333.39651212505,-1.45266454436417,1.09585661344124,-1.3255972784637,0.184973128180029,0.681187221182249
"ENSDARG00000012261",1212.12441032728,-1.42288359510747,1.18576119545949,-1.19997483519951,0.230149113897646,0.729641336063992
"ENSDARG00000012271",44.1459071293075,-0.0176383370137871,1.41090806982958,-0.0125014077039885,0.990025579614401,0.999788956657215
"ENSDARG00000012274",660.369454892791,0.268433878150747,0.950348549937619,0.282458344539345,0.777592082897466,0.965492266353494
"ENSDARG00000012275",6.34096333899126,0.318431925840124,2.45611593778558,0.129648572749062,0.896844472030345,NA
"ENSDARG00000012281",940.075782175899,-1.03453722678653,1.07088562352767,-0.9660576293653,0.334015344733685,0.807343794412544
"ENSDARG00000012294",678.425703267236,1.24557122569419,0.901508211823766,1.3816526675607,0.167078374204371,0.657367474435762
"ENSDARG00000012295",203.140893907492,0.638596094132095,1.01397808803723,0.629792794998397,0.528830160257236,0.902901435008747
"ENSDARG00000012297",379.64493631832,-5.21421830354318,1.53311681132431,-3.40105741782266,0.000671257269675315,0.0485332167882501
"ENSDARG00000012306",243.487584400566,0.425848659288839,0.956171838561676,0.445368334555243,0.656053591947334,0.937866176221835
"ENSDARG00000012314",347.163477484949,1.06120749942993,1.21440734380606,0.873848058349191,0.382201004522956,0.8400858274189
"ENSDARG00000012325",44.6668430504205,-1.24666467158059,1.54993332323819,-0.804334388382596,0.421203882510038,0.860954904768148
"ENSDARG00000012330",939.378044270462,-1.20843611556477,1.10021688041263,-1.09836172947243,0.27204656673163,0.763079651731487
"ENSDARG00000012336",317.7750763046,-1.69822124053203,0.949014376369243,-1.78945786577977,0.0735411073101692,0.49430455540561
"ENSDARG00000012338",17.0078630480431,-0.715837542286678,2.64745729133802,-0.27038681403049,0.786862683321909,0.96793349962677
"ENSDARG00000012340",111.584053471838,-1.54312743156107,1.1419861797465,-1.35126629282292,0.176610145458066,0.671726400205324
"ENSDARG00000012341",644.389924834953,1.5043940214244,1.50979551639739,0.996422366529555,0.319044970077029,0.796301303657105
"ENSDARG00000012347",344.986339832554,0.0546626414599215,1.02066809641234,0.053555746135361,0.957289115345904,0.996516282524724
"ENSDARG00000012353",48.5394923235762,2.00242167680714,1.49239562553032,1.34174989697895,0.179677102504365,0.675366891038536
"ENSDARG00000012366",28.3075269663913,-3.64912715631932,2.41963693710798,-1.50813004230331,0.131521247622634,0.603985432055873
"ENSDARG00000012367",340.772417642288,1.4039921771613,1.21132692776501,1.15905305576899,0.246434559376109,0.745460489032459
"ENSDARG00000012368",2380.48514530452,4.49693855695236,1.44640762415652,3.10903958320517,0.00187696570239012,0.0841385451472408
"ENSDARG00000012369",130.039158539817,-1.14084128769584,1.25386578236577,-0.909859176109998,0.362896781693886,0.82754829487819
"ENSDARG00000012378",510.791907269841,-1.34836861257957,1.01510878449103,-1.32829961988323,0.184079145274122,0.67980342508266
"ENSDARG00000012381",289.30157868948,-1.57942538282765,1.22073360327177,-1.29383296944929,0.195723121862298,0.695028848784386
